iter	MultiClass
0	1.46697805
1	1.357808961
2	1.297906891
3	1.237601498
4	1.18644028
5	1.154541613
6	1.115250045
7	1.085278452
8	1.058650484
9	1.039353361
10	1.024781535
11	1.006558853
12	0.9869599282
13	0.9713909306
14	0.9540365368
15	0.9412914511
16	0.9271692401
17	0.9183162477
18	0.9053800501
19	0.8946122184
20	0.8830544458
21	0.8750114178
22	0.8656725099
23	0.8577647538
24	0.8466965989
25	0.8356273144
26	0.8293572029
27	0.8192282633
28	0.8108569183
29	0.8052018226
30	0.8014325772
31	0.7899153737
32	0.7835424846
33	0.7752751393
34	0.7673045511
35	0.7613374366
36	0.7524332198
37	0.7413109234
38	0.7358043953
39	0.7258343314
40	0.7194794959
41	0.7116476155
42	0.7076747384
43	0.6974862698
44	0.6917884416
45	0.6857087853
46	0.675445954
47	0.6684134477
48	0.6658794317
49	0.6567518332
50	0.6509226533
51	0.6447630887
52	0.6377954669
53	0.6346800504
54	0.630822266
55	0.6279278329
56	0.6236549267
57	0.6162783743
58	0.6148495581
59	0.6126926156
60	0.6080052584
61	0.6042092095
62	0.5976997386
63	0.5938227735
64	0.5891101892
65	0.5854612564
66	0.5789869894
67	0.5764065408
68	0.5740433544
69	0.5693588145
70	0.5640722217
71	0.5617720874
72	0.5583345171
73	0.5500909603
74	0.545966516
75	0.5421223027
76	0.5387894113
77	0.5329574024
78	0.5281700089
79	0.5260598949
80	0.5253530143
81	0.5205779561
82	0.5171857165
83	0.514686007
84	0.5109417861
85	0.5080333337
86	0.5063408883
87	0.5031768229
88	0.5016776246
89	0.5000492655
90	0.4977274296
91	0.4938026342
92	0.4927052914
93	0.4903450013
94	0.4875283159
95	0.4834447959
96	0.479124418
97	0.4760933195
98	0.4710646388
99	0.4686930717
100	0.4680630724
101	0.464458255
102	0.4606116612
103	0.4580203508
104	0.4531132628
105	0.4505951349
106	0.4477432834
107	0.4465843988
108	0.4442152509
109	0.4427178697
110	0.4400068917
111	0.4375359884
112	0.4348425654
113	0.4315895543
114	0.4289770456
115	0.426588255
116	0.4243685361
117	0.4215600595
118	0.4201085911
119	0.4185212401
120	0.4157953395
121	0.4130573529
122	0.4108937115
123	0.4072289383
124	0.405444604
125	0.4033051796
126	0.4014845962
127	0.3978260615
128	0.3954466341
129	0.3932546632
130	0.3903794505
131	0.3868923418
132	0.3833782286
133	0.3814486869
134	0.3780549113
135	0.375987866
136	0.373224316
137	0.3717274264
138	0.3692840776
139	0.3684522548
140	0.3655829303
141	0.3630956123
142	0.3619635947
143	0.3603227293
144	0.3584167538
145	0.355765596
146	0.3547638316
147	0.3528013996
148	0.3505447224
149	0.3470299712
150	0.3448610427
151	0.3421856072
152	0.3391178842
153	0.337325766
154	0.3345948134
155	0.3320004983
156	0.3299225486
157	0.3284768879
158	0.326572927
159	0.3258800112
160	0.3248535857
161	0.3229920943
162	0.3210770741
163	0.3187040392
164	0.3171923357
165	0.3152948091
166	0.3142023558
167	0.3132422038
168	0.3119524901
169	0.3111773513
170	0.3104156854
171	0.3090082959
172	0.3068283552
173	0.3055948586
174	0.3039908475
175	0.3024932834
176	0.300909161
177	0.2991936247
178	0.2978654267
179	0.2966340211
180	0.2950192909
181	0.2938712818
182	0.2916664941
183	0.2906375206
184	0.2897949992
185	0.287698699
186	0.2863134728
187	0.2843202649
188	0.2830517927
189	0.2818949557
190	0.2801530408
191	0.2796089462
192	0.2785718181
193	0.2762696595
194	0.2752093368
195	0.2737895364
196	0.2726736989
197	0.2706709833
198	0.2698778872
199	0.2692970911
200	0.2682420043
201	0.2674779837
202	0.2658082257
203	0.2639079566
204	0.2632370616
205	0.2621383614
206	0.2601524402
207	0.2591798406
208	0.2577754863
209	0.25677087
210	0.2557829766
211	0.2544491325
212	0.2535966254
213	0.2525011443
214	0.2510193581
215	0.2496608332
216	0.2483266464
217	0.2477958889
218	0.2467563566
219	0.2451002463
220	0.2440997427
221	0.2433789374
222	0.2423913548
223	0.2415381842
224	0.2406939504
225	0.2402454582
226	0.2394864503
227	0.2383483429
228	0.2373812135
229	0.2356915989
230	0.2346946269
231	0.2334481316
232	0.2314176549
233	0.2302609535
234	0.2287622289
235	0.2278452063
236	0.2267553034
237	0.2262307992
238	0.2251603941
239	0.2238231443
240	0.2228234211
241	0.2218822857
242	0.2211547344
243	0.2200393464
244	0.2188159444
245	0.2175257076
246	0.2170941197
247	0.2156641991
248	0.2145991282
249	0.2137685437
250	0.2124411989
251	0.2116023521
252	0.2105963709
253	0.2099336257
254	0.2088470847
255	0.2077792866
256	0.2065258446
257	0.2054432685
258	0.2048655401
259	0.2045037848
260	0.2037352817
261	0.2030970064
262	0.2026598393
263	0.2019067548
264	0.2009452874
265	0.2003793047
266	0.1994189365
267	0.1987929953
268	0.1981630779
269	0.1966798036
270	0.1951947489
271	0.1944587627
272	0.1936130953
273	0.1930101115
274	0.192189113
275	0.1914403866
276	0.1911731429
277	0.1902595109
278	0.1895980342
279	0.1888030543
280	0.1883459934
281	0.1878763073
282	0.186869562
283	0.1858977168
284	0.1847244446
285	0.183285029
286	0.1828875809
287	0.1818205117
288	0.1812385304
289	0.1803336517
290	0.1791436179
291	0.1782019308
292	0.177561534
293	0.176775159
294	0.1758711852
295	0.1751166934
296	0.1746397205
297	0.1734984559
298	0.1732162964
299	0.1725542771
300	0.1721468444
301	0.1712988558
302	0.1708753892
303	0.1705079685
304	0.1701691675
305	0.1696357033
306	0.1692367299
307	0.1686181686
308	0.1680334413
309	0.1676637529
310	0.1669183454
311	0.1664319914
312	0.1661967031
313	0.1653717336
314	0.1645247409
315	0.1642175539
316	0.1637453176
317	0.1633503697
318	0.1631099488
319	0.1627213912
320	0.1619995741
321	0.1613177271
322	0.160759338
323	0.1602521036
324	0.1590885015
325	0.1584845677
326	0.1577262429
327	0.1569179255
328	0.1561180761
329	0.155855556
330	0.1554471581
331	0.1549834948
332	0.1546213484
333	0.1540420423
334	0.1531457527
335	0.1525559456
336	0.1518341235
337	0.1513914086
338	0.1506801447
339	0.1500941056
340	0.1494233447
341	0.1491059749
342	0.148549365
343	0.1481486516
344	0.1478159173
345	0.1469467075
346	0.1464763552
347	0.1462491011
348	0.1457858977
349	0.145043828
350	0.1448737575
351	0.1447069312
352	0.1442124906
353	0.1437094284
354	0.143346976
355	0.1424806888
356	0.1420789177
357	0.1418679555
358	0.1415615415
359	0.1411278897
360	0.1405720274
361	0.140282256
362	0.1394738082
363	0.1389437415
364	0.1382943836
365	0.1379549112
366	0.1378364582
367	0.1374078667
368	0.1367864984
369	0.1363197641
370	0.1360915279
371	0.1355437624
372	0.1353399309
373	0.134805881
374	0.1345047182
375	0.1338613217
376	0.1334409924
377	0.1329740205
378	0.1325582035
379	0.1321947759
380	0.1319477368
381	0.1315469025
382	0.1308566545
383	0.1301890784
384	0.1297546633
385	0.1294829512
386	0.1292139775
387	0.1285098829
388	0.1281912384
389	0.1276512377
390	0.1272142765
391	0.1266140408
392	0.1260062789
393	0.1255634819
394	0.1251532717
395	0.1248959088
396	0.1246015786
397	0.1245010437
398	0.1236260148
399	0.123216736
400	0.1227490521
401	0.1222611803
402	0.1220049467
403	0.1217595848
404	0.12121604
405	0.1207171711
406	0.1204671795
407	0.1197395223
408	0.1193025402
409	0.1190992765
410	0.1187178213
411	0.1184500737
412	0.1182480212
413	0.1179333295
414	0.1172682377
415	0.1167904488
416	0.1163681338
417	0.1162082733
418	0.1157658899
419	0.1152860905
420	0.1149278638
421	0.1146129467
422	0.1141439751
423	0.1136992706
424	0.1133325213
425	0.1130676165
426	0.1125762797
427	0.1123411767
428	0.1119016979
429	0.1115404064
430	0.1112443707
431	0.1105810412
432	0.1103211073
433	0.110010981
434	0.1097093935
435	0.1094143125
436	0.1091712801
437	0.1088245861
438	0.1083802299
439	0.1080771418
440	0.1078173025
441	0.1074627881
442	0.107033055
443	0.1066596932
444	0.1064428938
445	0.1063486934
446	0.1060149317
447	0.1058641601
448	0.1056512981
449	0.1054966051
450	0.1050894281
451	0.1046690688
452	0.104106073
453	0.1037489852
454	0.103345695
455	0.1030454895
456	0.1028682279
457	0.1025596458
458	0.1022377022
459	0.10207598
460	0.1018943627
461	0.1015426877
462	0.1012081608
463	0.1010461154
464	0.1007684304
465	0.1006233036
466	0.1003574493
467	0.100242398
468	0.1000026499
469	0.09978128067
470	0.09963298239
471	0.09926285325
472	0.09915492274
473	0.09888984273
474	0.09850045704
475	0.09823701344
476	0.09803928207
477	0.09779083377
478	0.0974359029
479	0.09721414204
480	0.09690242486
481	0.09673563434
482	0.09653790529
483	0.09622965343
484	0.09612506689
485	0.0958586222
486	0.09573732363
487	0.09555076755
488	0.09536096806
489	0.09512022964
490	0.09475331742
491	0.09455220872
492	0.0941537684
493	0.09399426689
494	0.09372971607
495	0.09344976816
496	0.09312114851
497	0.0928578529
498	0.0927251813
499	0.09231129065
500	0.09215868155
501	0.09185264511
502	0.09155507123
503	0.09142638037
504	0.09129689629
505	0.09094940996
506	0.09060895655
507	0.09032603722
508	0.09002816301
509	0.08993885441
510	0.08962041586
511	0.08946448154
512	0.08919879701
513	0.08906966369
514	0.08888895619
515	0.08880418572
516	0.08849164571
517	0.08832188338
518	0.08815440409
519	0.08800164093
520	0.08785400529
521	0.0875820206
522	0.08745770379
523	0.08717746988
524	0.08704539538
525	0.08675007237
526	0.08647279488
527	0.08629195
528	0.08618164481
529	0.08608083928
530	0.08588561524
531	0.08550155081
532	0.08534389782
533	0.08516996397
534	0.08492480145
535	0.08482432932
536	0.08470505548
537	0.08439986903
538	0.08404545337
539	0.08375585896
540	0.08354031842
541	0.08319398172
542	0.08299991389
543	0.08288385207
544	0.08263955907
545	0.08256431614
546	0.08240239125
547	0.08220435206
548	0.0820488611
549	0.08180986849
550	0.08168108187
551	0.08148146976
552	0.08129554747
553	0.08113102993
554	0.08097639997
555	0.08073716088
556	0.08035950137
557	0.08015774993
558	0.07990057919
559	0.07966074112
560	0.07953373445
561	0.07929897584
562	0.07914765399
563	0.07884937565
564	0.07873266911
565	0.07856709193
566	0.0783230927
567	0.07813202832
568	0.07784665967
569	0.07771908649
570	0.07749977271
571	0.07733305192
572	0.0771486367
573	0.07701554857
574	0.076812582
575	0.07660120319
576	0.07631669391
577	0.07613172711
578	0.07586479616
579	0.07570982834
580	0.07556469895
581	0.07539309129
582	0.07520848366
583	0.07503368255
584	0.07480863757
585	0.0747569144
586	0.07465133662
587	0.07439486352
588	0.07416008776
589	0.07400138582
590	0.07381500454
591	0.07369383339
592	0.07341565537
593	0.07317041855
594	0.07297144631
595	0.07281423882
596	0.07268282063
597	0.07254137423
598	0.07238048669
599	0.07227744055
600	0.07215996846
601	0.0719894802
602	0.07183285513
603	0.07164436103
604	0.07148071814
605	0.07137261759
606	0.0712047614
607	0.07096578832
608	0.07076206384
609	0.07051851602
610	0.07036043051
611	0.07028940678
612	0.07019233384
613	0.07006276538
614	0.06986813563
615	0.06979274766
616	0.06965949854
617	0.06951954102
618	0.06929902894
619	0.06913316187
620	0.06898263157
621	0.06875045936
622	0.06862601957
623	0.06847866358
624	0.06838615967
625	0.06822571701
626	0.06809436986
627	0.0678737774
628	0.06775920069
629	0.06762153253
630	0.06747846835
631	0.06724928545
632	0.06718649395
633	0.06709210255
634	0.06693861432
635	0.06670404253
636	0.06650967203
637	0.06637785957
638	0.06628412
639	0.06612641599
640	0.06599558793
641	0.06579306389
642	0.06568705503
643	0.06552804377
644	0.06537674891
645	0.06517951405
646	0.06511724057
647	0.06498458555
648	0.0649462561
649	0.06476521283
650	0.06461084161
651	0.06449520129
652	0.06437201224
653	0.06425234388
654	0.0640665104
655	0.0639828238
656	0.06380655089
657	0.06369843705
658	0.06349798776
659	0.06339806915
660	0.06329354066
661	0.06314793511
662	0.06302009866
663	0.0629268932
664	0.06274786597
665	0.06261471801
666	0.06251795965
667	0.06231407439
668	0.06220684669
669	0.06209994057
670	0.06203106904
671	0.0619045078
672	0.0617781228
673	0.06170348928
674	0.061624331
675	0.06147444569
676	0.06130462205
677	0.06119991434
678	0.06103723353
679	0.06097484259
680	0.0608884786
681	0.0607751825
682	0.06066725396
683	0.06057339792
684	0.06050533548
685	0.06035739996
686	0.0602818084
687	0.06019273862
688	0.06001439722
689	0.05989827041
690	0.05979068721
691	0.05960705521
692	0.05953749296
693	0.05946156177
694	0.05929769549
695	0.05913823035
696	0.05898960182
